Time (EDT),Latitude,Longitude,Course,kts,mph,feet,Rate,Reporting Facility
Fri 01:43:26 AM,24.6683,55.9359,↓ 182°,408,470,"16,750","2,034 Climbing", FlightAware ADS-B (RKT / OMRK)
Fri 01:43:56 AM,24.6128,55.9286,↓ 196°,415,478,"17,675","1,811 Climbing", FlightAware ADS-B (RKT / OMRK)
Fri 01:44:19 AM,24.5746,55.9079,↙ 213°,418,481,"18,350","1,953 Climbing", FlightAware ADS-B (DXB / OMDB)
Fri 01:44:49 AM,24.5295,55.8661,↙ 221°,422,486,"19,400","2,066 Climbing", FlightAware ADS-B (RKT / OMRK)
Fri 01:45:20 AM,24.4833,55.821,↙ 222°,426,490,"20,450","2,016 Climbing", FlightAware ADS-B (MCT / OOMS)
Fri 01:45:50 AM,24.4387,55.7776,↙ 222°,429,494,"21,450","1,800 Climbing", FlightAware ADS-B (MCT / OOMS)
Fri 01:46:20 AM,24.3958,55.7363,↙ 221°,434,499,"22,250","1,675 Climbing", FlightAware ADS-B (DXB / OMDB)
Fri 01:46:50 AM,24.3487,55.6912,↙ 221°,439,505,"23,125","1,672 Climbing", FlightAware ADS-B (DXB / OMDB)
Fri 01:47:21 AM,24.3012,55.6459,↙ 221°,435,501,"23,950","1,154 Climbing", FlightAware ADS-B (MCT / OOMS)
Fri 01:47:42 AM,24.2662,55.617,↙ 212°,437,503,"24,125",892 Climbing, FlightAware ADS-B (RKT / OMRK)
Fri 01:47:58 AM,24.2389,55.602,↙ 204°,442,509,"24,500","1,404 Climbing", FlightAware ADS-B (DXB / OMDB)
Fri 01:48:29 AM,24.1776,55.5813,↓ 196°,452,520,"25,225","1,426 Climbing", FlightAware ADS-B (AUH / OMAA)
Fri 01:48:59 AM,24.1168,55.5631,↓ 195°,456,525,"25,950","1,451 Climbing", FlightAware ADS-B (DXB / OMDB)
Fri 01:49:30 AM,24.0526,55.5442,↓ 195°,460,529,"26,700","1,402 Climbing", FlightAware ADS-B (AUH / OMAA)
Fri 01:50:00 AM,23.9903,55.5258,↓ 195°,464,534,"27,375","1,333 Climbing", FlightAware ADS-B (AUH / OMAA)
Fri 01:50:33 AM,23.9207,55.5052,↓ 195°,470,541,"28,100","1,177 Climbing", FlightAware ADS-B (MCT / OOMS)
Fri 01:51:05 AM,23.8533,55.4852,↓ 195°,477,549,"28,650","1,137 Climbing", FlightAware ADS-B (MCT / OOMS)
Fri 01:51:35 AM,23.7894,55.4663,↓ 195°,480,552,"29,275","1,225 Climbing", FlightAware ADS-B (MCT / OOMS)
Fri 01:52:05 AM,23.7257,55.4473,↓ 195°,483,556,"29,875","1,575 Climbing", FlightAware ADS-B (MCT / OOMS)
Fri 01:52:35 AM,23.6592,55.4275,↓ 195°,478,550,"30,850","1,650 Climbing", FlightAware ADS-B (MCT / OOMS)
Fri 01:53:05 AM,23.5956,55.4086,↓ 195°,474,545,"31,525","1,200 Climbing", FlightAware ADS-B (MCT / OOMS)
Fri 01:53:25 AM,23.5533,55.3968,↓ 192°,475,547,"31,850",811 Climbing, FlightAware ADS-B (MCT / OOMS)
Fri 01:53:42 AM,23.5149,55.3928,↓ 180°,488,562,"32,025",273 Climbing, FlightAware ADS-B (AUH / OMAA)
Fri 01:53:58 AM,23.4787,55.3961,↓ 171°,496,571,"32,000",-26 Descending, FlightAware ADS-B (NHD / OMDM)
Fri 01:54:40 AM,23.3854,55.4218,↓ 164°,500,575,"32,000", Level, FlightAware ADS-B (MCT / OOMS)
Fri 01:55:11 AM,23.3191,55.4434,↓ 163°,501,577,"32,000", Level, FlightAware ADS-B (MCT / OOMS)
Fri 01:55:41 AM,23.2507,55.4657,↓ 163°,502,578,"32,000", Level, FlightAware ADS-B (MCT / OOMS)
Fri 01:56:11 AM,23.1835,55.4874,↓ 164°,504,580,"32,000", Level, FlightAware ADS-B (MCT / OOMS)
Fri 01:56:41 AM,23.1151,55.5091,↓ 164°,504,580,"32,000", Level, FlightAware ADS-B (MCT / OOMS)
Fri 01:57:17 AM,23.0357,55.5341,↓ 164°,503,579,"32,000", Level, FlightAware ADS-B (DXB / OMDB)
Fri 01:57:56 AM,22.9482,55.5609,↓ 164°,501,577,"32,000", Level, FlightAware ADS-B (NHD / OMDM)
Fri 01:58:35 AM,22.8611,55.5874,↓ 164°,501,577,"32,000", Level, FlightAware ADS-B (MCT / OOMS)
Fri 01:59:05 AM,22.7945,55.6078,↓ 164°,502,578,"32,000", Level, FlightAware ADS-B (MCT / OOMS)
Fri 01:59:35 AM,22.7266,55.6285,↓ 164°,503,579,"32,000", Level, FlightAware ADS-B (MCT / OOMS)
Fri 02:00:05 AM,22.6574,55.6496,↓ 164°,504,580,"32,000", Level, FlightAware ADS-B (MCT / OOMS)
Fri 02:00:42 AM,22.577,55.6741,↓ 164°,502,578,"32,000", Level, FlightAware ADS-B (RKT / OMRK)
Fri 02:01:15 AM,22.502,55.6971,↓ 164°,499,574,"32,000", Level, FlightAware ADS-B (DXB / OMDB)
Fri 02:01:46 AM,22.4344,55.7179,↓ 164°,498,573,"32,000", Level, FlightAware ADS-B (DXB / OMDB)
Fri 02:02:26 AM,22.3407,55.7464,↓ 164°,499,574,"32,000", Level, FlightAware ADS-B (NHD / OMDM)
Fri 02:03:13 AM,22.2392,55.7719,↓ 171°,492,566,"32,000", Level, FlightAware ADS-B (MCT / OOMS)
Fri 02:03:56 AM,22.1415,55.783,↓ 175°,489,563,"32,000", Level, FlightAware ADS-B (NHD / OMDM)
Fri 02:04:43 AM,22.0367,55.7935,↓ 175°,488,562,"32,000", Level, FlightAware ADS-B (NHD / OMDM)
Fri 02:05:46 AM,21.8943,55.8076,↓ 175°,490,564,"32,000", Level, FlightAware ADS-B (NHD / OMDM)
Fri 02:08:03 AM,21.6539,55.638,↙ 213°,,,, Level, Estimated
Fri 02:09:03 AM,21.5485,55.5639,↙ 213°,,,, Level, Estimated
Fri 02:10:08 AM,21.4344,55.4838,↙ 213°,,,, Level, Estimated
Fri 02:11:08 AM,21.3289,55.4099,↙ 213°,,,, Level, Estimated
Fri 02:13:07 AM,21.1198,55.2637,↙ 213°,,,, Level, Estimated
Fri 02:14:09 AM,21.0107,55.1877,↙ 213°,,,, Level, Estimated
Fri 02:15:10 AM,20.9034,55.113,↙ 213°,,,, Level, Estimated
Fri 02:17:09 AM,20.694,54.9676,↙ 213°,,,, Level, Estimated
Fri 02:18:55 AM,20.5073,54.8385,↙ 213°,,,, Level, Estimated
Fri 02:20:05 AM,20.384,54.7534,↙ 213°,,,, Level, Estimated
Fri 02:22:06 AM,20.1708,54.6066,↙ 213°,,,, Level, Estimated
Fri 02:23:59 AM,19.9715,54.4699,↙ 213°,,,, Level, Estimated
Fri 02:25:09 AM,19.848,54.3853,↙ 213°,,,, Level, Estimated
Fri 02:26:10 AM,19.7404,54.3118,↙ 213°,,,, Level, Estimated
Fri 02:27:59 AM,19.5479,54.1806,↙ 213°,,,, Level, Estimated
Fri 02:29:04 AM,19.4331,54.1025,↙ 213°,,,, Level, Estimated
Fri 02:30:08 AM,19.3201,54.0257,↙ 213°,,,, Level, Estimated
Fri 02:31:46 AM,19.1469,53.9084,↙ 213°,,,, Level, Estimated
Fri 02:33:09 AM,19.0002,53.8092,↙ 213°,,,, Level, Estimated
Fri 02:35:01 AM,18.8021,53.6756,↙ 213°,,,, Level, Estimated
Fri 02:37:03 AM,18.5862,53.5304,↙ 213°,,,, Level, Estimated
Fri 02:38:09 AM,18.4693,53.452,↙ 212°,,,, Level, Estimated
Fri 02:40:08 AM,18.2586,53.311,↙ 212°,,,, Level, Estimated
Fri 02:42:06 AM,18.0495,53.1715,↙ 212°,,,, Level, Estimated
Fri 02:44:08 AM,17.8332,53.0276,↙ 212°,,,, Level, Estimated
Fri 02:46:08 AM,17.6204,52.8864,↙ 212°,,,, Level, Estimated
Fri 02:47:59 AM,17.4235,52.7561,↙ 212°,,,, Level, Estimated
Fri 02:49:10 AM,17.2975,52.6729,↙ 212°,,,, Level, Estimated
Fri 02:51:06 AM,17.0915,52.5372,↙ 212°,,,, Level, Estimated
Fri 02:53:06 AM,16.8783,52.3971,↙ 212°,,,, Level, Estimated
Fri 02:54:07 AM,16.7699,52.3261,↙ 212°,,,, Level, Estimated
Fri 02:56:10 AM,16.5513,52.183,↙ 212°,,,, Level, Estimated
Fri 02:58:07 AM,16.3432,52.0472,↙ 212°,,,, Level, Estimated
Fri 02:59:08 AM,16.2347,51.9765,↙ 212°,,,, Level, Estimated
Fri 03:00:09 AM,16.1262,51.9059,↙ 212°,,,, Level, Estimated
Fri 03:02:06 AM,15.9179,51.7707,↙ 212°,,,, Level, Estimated
Fri 03:03:09 AM,15.8058,51.698,↙ 212°,,,, Level, Estimated
Fri 03:05:01 AM,15.6063,51.569,↙ 212°,,,, Level, Estimated
Fri 03:07:05 AM,15.3854,51.4265,↙ 212°,,,, Level, Estimated
Fri 03:08:50 AM,15.1982,51.306,↙ 212°,,,, Level, Estimated
Fri 03:10:07 AM,15.061,51.2178,↙ 212°,,,, Level, Estimated
Fri 03:11:08 AM,14.9522,51.148,↙ 212°,,,, Level, Estimated
Fri 03:12:50 AM,14.7703,51.0314,↙ 212°,,,, Level, Estimated
Fri 03:14:04 AM,14.6382,50.947,↙ 212°,,,, Level, Estimated
Fri 03:15:05 AM,14.5294,50.8775,↙ 212°,,,, Level, Estimated
Fri 03:16:05 AM,14.4223,50.8091,↙ 212°,,,, Level, Estimated
Fri 03:18:08 AM,14.2027,50.6693,↙ 212°,,,, Level, Estimated
Fri 03:20:02 AM,13.9991,50.5399,↙ 212°,,,, Level, Estimated
Fri 03:21:04 AM,13.8883,50.4696,↙ 212°,,,, Level, Estimated
Fri 03:22:07 AM,13.7757,50.3983,↙ 212°,,,, Level, Estimated
Fri 03:23:10 AM,13.6631,50.327,↙ 212°,,,, Level, Estimated
Fri 03:25:07 AM,13.454,50.1949,↙ 212°,,,, Level, Estimated
Fri 03:26:08 AM,13.3449,50.126,↙ 212°,,,, Level, Estimated
Fri 03:27:49 AM,13.1643,50.0122,↙ 212°,,,, Level, Estimated
Fri 03:29:03 AM,13.0319,49.929,↙ 212°,,,, Level, Estimated
Fri 03:30:59 AM,12.8243,49.7986,↙ 211°,,,, Level, Estimated
Fri 03:32:10 AM,12.6973,49.7189,↙ 211°,,,, Level, Estimated
Fri 03:34:06 AM,12.4896,49.5889,↙ 211°,,,, Level, Estimated
Fri 03:35:10 AM,12.375,49.5173,↙ 211°,,,, Level, Estimated
Fri 03:37:03 AM,12.1726,49.3909,↙ 211°,,,, Level, Estimated
Fri 03:39:09 AM,11.9469,49.2503,↙ 211°,,,, Level, Estimated
Fri 03:40:47 AM,11.7712,49.141,↙ 211°,,,, Level, Estimated
Fri 03:42:04 AM,11.6332,49.0553,↙ 211°,,,, Level, Estimated
Fri 03:43:09 AM,11.5167,48.983,↙ 211°,,,, Level, Estimated
Fri 03:45:09 AM,11.3015,48.8497,↙ 211°,,,, Level, Estimated
Fri 03:47:03 AM,11.097,48.7232,↙ 211°,,,, Level, Estimated
Fri 03:48:03 AM,10.9894,48.6567,↙ 211°,,,, Level, Estimated
Fri 03:50:07 AM,10.7669,48.5195,↙ 211°,,,, Level, Estimated
Fri 03:52:06 AM,10.5533,48.3879,↙ 211°,,,, Level, Estimated
Fri 03:54:03 AM,10.3433,48.2588,↙ 211°,,,, Level, Estimated
Fri 03:55:06 AM,10.2301,48.1893,↙ 211°,,,, Level, Estimated
Fri 03:57:03 AM,10.02,48.0604,↙ 211°,,,, Level, Estimated
Fri 03:58:59 AM,9.8116,47.9328,↙ 211°,,,, Level, Estimated
Fri 04:00:02 AM,9.6984,47.8635,↙ 211°,,,, Level, Estimated
Fri 04:01:05 AM,9.5852,47.7944,↙ 211°,,,, Level, Estimated
Fri 04:02:10 AM,9.4684,47.723,↙ 211°,,,, Level, Estimated
Fri 04:04:03 AM,9.2653,47.5991,↙ 211°,,,, Level, Estimated
Fri 04:05:03 AM,9.1574,47.5333,↙ 211°,,,, Level, Estimated
Fri 04:06:07 AM,9.0424,47.4633,↙ 211°,,,, Level, Estimated
Fri 04:08:07 AM,8.8266,47.332,↙ 211°,,,, Level, Estimated
Fri 04:09:09 AM,8.7151,47.2642,↙ 211°,,,, Level, Estimated
Fri 04:10:10 AM,8.6054,47.1976,↙ 211°,,,, Level, Estimated
Fri 04:12:04 AM,8.4003,47.0732,↙ 211°,,,, Level, Estimated
Fri 04:13:08 AM,8.2851,47.0034,↙ 211°,,,, Level, Estimated
Fri 04:15:09 AM,8.0674,46.8716,↙ 211°,,,, Level, Estimated
Fri 04:17:03 AM,7.8622,46.7475,↙ 211°,,,, Level, Estimated
Fri 04:19:09 AM,7.6354,46.6105,↙ 211°,,,, Level, Estimated
Fri 04:21:10 AM,7.4175,46.4791,↙ 211°,,,, Level, Estimated
Fri 04:23:10 AM,7.2014,46.3488,↙ 211°,,,, Level, Estimated
Fri 04:24:53 AM,7.0159,46.2372,↙ 211°,,,, Level, Estimated
Fri 04:26:08 AM,6.8808,46.1559,↙ 211°,,,, Level, Estimated
Fri 04:27:08 AM,6.7727,46.0909,↙ 211°,,,, Level, Estimated
Fri 04:28:46 AM,6.5961,45.9849,↙ 211°,,,, Level, Estimated
Fri 04:30:09 AM,6.4466,45.8951,↙ 211°,,,, Level, Estimated
Fri 04:31:59 AM,6.2483,45.7762,↙ 211°,,,, Level, Estimated
Fri 04:34:07 AM,6.0176,45.638,↙ 211°,,,, Level, Estimated
Fri 04:36:03 AM,5.8085,45.5129,↙ 211°,,,, Level, Estimated
Fri 04:37:10 AM,5.6877,45.4406,↙ 211°,,,, Level, Estimated
Fri 04:37:10 AM,3.8106,46.3741,↙ 211°,511,588,"32,000", Level, FlightAware ADS-B (MGQ / HCMM)
Fri 04:39:10 AM,3.5983,46.2385,↙ 213°,,,, Level, Estimated
Fri 04:39:51 AM,3.4854,46.1789,↙ 211°,510,587,"32,000", Level, FlightAware ADS-B (MGQ / HCMM)
Fri 04:40:49 AM,3.3662,46.1075,↙ 211°,511,588,"32,000", Level, FlightAware ADS-B (MGQ / HCMM)
Fri 04:41:22 AM,3.2979,46.0665,↙ 211°,511,588,"32,000", Level, FlightAware ADS-B (MGQ / HCMM)
Fri 04:41:52 AM,3.2375,46.0303,↙ 211°,511,588,"32,000", Level, FlightAware ADS-B (MGQ / HCMM)
Fri 04:42:52 AM,3.1155,45.9571,↙ 211°,510,587,"32,000", Level, FlightAware ADS-B (MGQ / HCMM)
Fri 04:43:22 AM,3.0546,45.9206,↙ 211°,510,587,"32,000", Level, FlightAware ADS-B (MGQ / HCMM)
Fri 04:43:52 AM,2.9934,45.8839,↙ 211°,510,587,"32,000", Level, FlightAware ADS-B (MGQ / HCMM)
Fri 04:44:22 AM,2.9325,45.8475,↙ 211°,509,586,"32,000", Level, FlightAware ADS-B (MGQ / HCMM)
Fri 04:44:52 AM,2.8717,45.8111,↙ 211°,509,586,"32,000", Level, FlightAware ADS-B (MGQ / HCMM)
Fri 04:45:22 AM,2.8106,45.7744,↙ 211°,509,586,"32,000", Level, FlightAware ADS-B (MGQ / HCMM)
Fri 04:45:52 AM,2.7496,45.738,↙ 211°,510,587,"32,000", Level, FlightAware ADS-B (MGQ / HCMM)
Fri 04:46:22 AM,2.6891,45.7017,↙ 211°,511,588,"32,000", Level, FlightAware ADS-B (MGQ / HCMM)
Fri 04:46:52 AM,2.6279,45.665,↙ 211°,511,588,"32,000", Level, FlightAware ADS-B (MGQ / HCMM)
Fri 04:47:22 AM,2.5671,45.6287,↙ 211°,511,588,"32,000", Level, FlightAware ADS-B (MGQ / HCMM)
Fri 04:47:52 AM,2.5063,45.5922,↙ 211°,511,588,"32,000", Level, FlightAware ADS-B (MGQ / HCMM)
Fri 04:48:23 AM,2.4453,45.5557,↙ 211°,512,589,"32,000", Level, FlightAware ADS-B (MGQ / HCMM)
Fri 04:48:53 AM,2.3833,45.5186,↙ 211°,511,588,"32,000", Level, FlightAware ADS-B (MGQ / HCMM)
Fri 04:49:23 AM,2.3234,45.4827,↙ 211°,510,587,"32,000", Level, FlightAware ADS-B (MGQ / HCMM)
Fri 04:49:53 AM,2.2631,45.4467,↙ 211°,510,587,"32,000", Level, FlightAware ADS-B (MGQ / HCMM)
Fri 04:50:23 AM,2.2013,45.4098,↙ 211°,508,585,"32,000", Level, FlightAware ADS-B (MGQ / HCMM)
Fri 04:51:00 AM,2.1265,45.365,↙ 211°,506,582,"32,000", Level, FlightAware ADS-B (MGQ / HCMM)
Fri 04:51:30 AM,2.0664,45.329,↙ 211°,506,582,"32,000", Level, FlightAware ADS-B (MGQ / HCMM)
Fri 04:52:15 AM,1.9775,45.2735,↙ 213°,508,585,"32,000", Level, FlightAware ADS-B (MGQ / HCMM)
Fri 04:52:53 AM,1.9025,45.2229,↙ 214°,508,585,"32,000", Level, FlightAware ADS-B (MGQ / HCMM)
Fri 04:53:23 AM,1.8431,45.1829,↙ 214°,509,586,"32,000", Level, FlightAware ADS-B (MGQ / HCMM)
Fri 04:53:53 AM,1.7837,45.1429,↙ 214°,510,587,"32,000", Level, FlightAware ADS-B (MGQ / HCMM)
Fri 04:54:23 AM,1.7251,45.1034,↙ 214°,510,587,"32,000", Level, FlightAware ADS-B (MGQ / HCMM)
Fri 04:54:53 AM,1.6664,45.0638,↙ 214°,510,587,"32,000", Level, FlightAware ADS-B (MGQ / HCMM)
Fri 04:55:53 AM,1.5492,44.9847,↙ 214°,511,588,"32,000", Level, FlightAware ADS-B (MGQ / HCMM)
Fri 04:56:47 AM,1.4432,44.9133,↙ 214°,511,588,"32,000", Level, FlightAware ADS-B (MGQ / HCMM)
Fri 04:57:22 AM,1.3741,44.8668,↙ 214°,510,587,"32,000",36 Climbing, FlightAware ADS-B (MGQ / HCMM)
Fri 04:59:09 AM,1.1847,44.7462,↙ 212°,,,, Level, Estimated
Fri 05:01:11 AM,0.9688,44.6087,↙ 212°,,,, Level, Estimated
Fri 05:03:10 AM,0.7582,44.4746,↙ 212°,,,, Level, Estimated
Fri 05:05:01 AM,0.5618,44.3495,↙ 212°,,,, Level, Estimated
Fri 05:06:05 AM,0.4485,44.2774,↙ 212°,,,, Level, Estimated
Fri 05:07:10 AM,0.3335,44.2042,↙ 212°,,,, Level, Estimated
Fri 05:09:09 AM,0.1229,44.0701,↙ 212°,,,, Level, Estimated
Fri 05:11:03 AM,-0.0789,43.9417,↙ 212°,,,, Level, Estimated
Fri 05:12:06 AM,-0.1904,43.8707,↙ 212°,,,, Level, Estimated
Fri 05:14:09 AM,-0.4081,43.7322,↙ 212°,,,, Level, Estimated
Fri 05:15:59 AM,-0.6028,43.6082,↙ 212°,,,, Level, Estimated
Fri 05:17:09 AM,-0.7267,43.5294,↙ 212°,,,, Level, Estimated
Fri 05:19:10 AM,-0.9408,43.393,↙ 212°,,,, Level, Estimated
Fri 05:21:09 AM,-1.1514,43.2589,↙ 212°,,,, Level, Estimated
Fri 05:23:03 AM,-1.3531,43.1304,↙ 212°,,,, Level, Estimated
Fri 05:24:04 AM,-1.4611,43.0617,↙ 212°,,,, Level, Estimated
Fri 05:25:07 AM,-1.5726,42.9906,↙ 212°,,,, Level, Estimated
Fri 05:26:07 AM,-1.6787,42.923,↙ 212°,,,, Level, Estimated
Fri 05:28:08 AM,-1.8928,42.7865,↙ 212°,,,, Level, Estimated
Fri 05:30:08 AM,-2.1052,42.6512,↙ 212°,,,, Level, Estimated
Fri 05:31:08 AM,-2.2113,42.5835,↙ 213°,,,, Level, Estimated
Fri 05:33:00 AM,-2.4095,42.4571,↙ 213°,,,, Level, Estimated
Fri 05:34:06 AM,-2.5263,42.3826,↙ 213°,,,, Level, Estimated
Fri 05:36:10 AM,-2.7456,42.2426,↙ 213°,,,, Level, Estimated
Fri 05:38:03 AM,-2.9455,42.115,↙ 213°,,,, Level, Estimated
Fri 05:40:01 AM,-3.1542,41.9817,↙ 213°,,,, Level, Estimated
Fri 05:41:04 AM,-3.2657,41.9105,↙ 213°,,,, Level, Estimated
Fri 05:42:09 AM,-3.3806,41.837,↙ 213°,,,, Level, Estimated
Fri 05:44:04 AM,-3.584,41.707,↙ 213°,,,, Level, Estimated
Fri 05:45:10 AM,-3.7007,41.6323,↙ 213°,,,, Level, Estimated
Fri 05:47:10 AM,-3.9129,41.4965,↙ 213°,,,, Level, Estimated
Fri 05:48:10 AM,-4.019,41.4286,↙ 213°,,,, Level, Estimated
Fri 05:50:10 AM,-4.2311,41.2927,↙ 213°,,,, Level, Estimated
Fri 05:51:37 AM,-4.8799,40.5723,↙ 213°,552,635,"34,000", Level, FlightAware ADS-B (DAR / HTDA)
Fri 05:52:18 AM,-4.9572,40.5115,↙ 218°,511,588,"34,000", Level, FlightAware ADS-B (DAR / HTDA)
Fri 05:52:50 AM,-5.0147,40.4639,↙ 223°,513,590,"34,000",-16 Descending, FlightAware ADS-B (DAR / HTDA)
Fri 05:53:53 AM,-5.1217,40.3589,↙ 225°,510,587,"33,975", Level, FlightAware ADS-B (DAR / HTDA)
Fri 05:55:11 AM,-5.2524,40.2301,↙ 225°,509,586,"34,000",4 Climbing, FlightAware ADS-B (DAR / HTDA)
Fri 05:57:03 AM,-5.4513,40.1044,↙ 212°,,,, Level, Estimated
Fri 05:58:06 AM,-5.5631,40.0337,↙ 212°,,,, Level, Estimated
Fri 05:59:10 AM,-5.6768,39.9618,↙ 212°,,,, Level, Estimated
Fri 05:59:37 AM,-5.7431,39.8342,↙ 215°,519,597,"34,000", Level, FlightAware ADS-B (DAR / HTDA)
Fri 06:00:35 AM,-5.8572,39.7515,↙ 216°,521,600,"34,000", Level, FlightAware ADS-B (DAR / HTDA)
Fri 06:01:05 AM,-5.9171,39.7081,↙ 216°,522,601,"34,000", Level, FlightAware ADS-B (DAR / HTDA)
Fri 06:01:36 AM,-5.9755,39.6661,↙ 216°,522,601,"34,000", Level, FlightAware ADS-B (DAR / HTDA)
Fri 06:02:06 AM,-6.0354,39.623,↙ 216°,522,601,"34,000", Level, FlightAware ADS-B (DAR / HTDA)
Fri 06:02:36 AM,-6.0942,39.5809,↙ 216°,522,601,"34,000", Level, FlightAware ADS-B (DAR / HTDA)
Fri 06:03:06 AM,-6.1533,39.5385,↙ 216°,521,600,"34,000", Level, FlightAware ADS-B (DAR / HTDA)
Fri 06:03:36 AM,-6.2129,39.4957,↙ 216°,520,598,"34,000", Level, FlightAware ADS-B (DAR / HTDA)
Fri 06:04:06 AM,-6.2705,39.4544,↙ 216°,518,596,"34,000", Level, FlightAware ADS-B (DAR / HTDA)
Fri 06:04:36 AM,-6.3299,39.4117,↙ 216°,517,595,"34,000", Level, FlightAware ADS-B (DAR / HTDA)
Fri 06:05:35 AM,-6.4448,39.3292,↙ 216°,516,594,"34,000", Level, FlightAware ADS-B (DAR / HTDA)
Fri 06:06:05 AM,-6.5041,39.2867,↙ 216°,514,592,"34,000", Level, FlightAware ADS-B (DAR / HTDA)
Fri 06:06:35 AM,-6.5623,39.2448,↙ 216°,514,592,"34,000", Level, FlightAware ADS-B (DAR / HTDA)
Fri 06:07:06 AM,-6.6207,39.2028,↙ 216°,515,593,"34,000", Level, FlightAware ADS-B (DAR / HTDA)
Fri 06:07:36 AM,-6.6787,39.1611,↙ 216°,515,593,"34,000", Level, FlightAware ADS-B (DAR / HTDA)
Fri 06:08:32 AM,-6.7869,39.0833,↙ 216°,512,589,"34,000", Level, FlightAware ADS-B (DAR / HTDA)
Fri 06:09:06 AM,-6.8517,39.0366,↙ 216°,512,589,"34,000", Level, FlightAware ADS-B (DAR / HTDA)
Fri 06:09:36 AM,-6.91,38.9946,↙ 216°,511,588,"34,000", Level, FlightAware ADS-B (DAR / HTDA)
Fri 06:10:06 AM,-6.9679,38.9529,↙ 216°,510,587,"34,000", Level, FlightAware ADS-B (DAR / HTDA)
Fri 06:10:36 AM,-7.0262,38.9108,↙ 216°,507,583,"34,000", Level, FlightAware ADS-B (DAR / HTDA)
Fri 06:11:36 AM,-7.1414,38.828,↙ 216°,508,585,"34,000", Level, FlightAware ADS-B (DAR / HTDA)
Fri 06:12:06 AM,-7.198,38.787,↙ 216°,511,588,"34,000", Level, FlightAware ADS-B (DAR / HTDA)
Fri 06:12:37 AM,-7.257,38.7444,↙ 216°,512,589,"34,000", Level, FlightAware ADS-B (DAR / HTDA)
Fri 06:13:07 AM,-7.3152,38.7023,↙ 216°,514,592,"34,000", Level, FlightAware ADS-B (DAR / HTDA)
Fri 06:13:37 AM,-7.3739,38.6599,↙ 216°,516,594,"34,000", Level, FlightAware ADS-B (DAR / HTDA)
Fri 06:14:27 AM,-7.4704,38.5902,↙ 216°,517,595,"34,000", Level, FlightAware ADS-B (DAR / HTDA)
Fri 06:16:02 AM,-7.6569,38.4554,↙ 216°,519,597,"34,000", Level, FlightAware ADS-B (DAR / HTDA)
Fri 06:18:04 AM,-7.8738,38.3182,↙ 212°,,,, Level, Estimated
Fri 06:19:09 AM,-7.9893,38.2451,↙ 212°,,,, Level, Estimated
Fri 06:21:02 AM,-8.1901,38.1179,↙ 212°,,,, Level, Estimated
